# Wavelength [nm], Diffuse Reflectance
523.000000000000000,0.975899326100612
524.000000000000000,0.975805273117537
525.000000000000000,0.975914477588190
526.000000000000000,0.976031026523221
527.000000000000000,0.976152121596427
528.000000000000000,0.976267714273128
529.000000000000000,0.976179917564103
530.000000000000000,0.976279683566837
531.000000000000000,0.976084021348568
532.000000000000000,0.975990683620767
533.000000000000000,0.976280043197943
534.000000000000000,0.976281207251808
535.000000000000000,0.976250438612120
536.000000000000000,0.976309711154974
537.000000000000000,0.976327329128188
538.000000000000000,0.976393691700298
539.000000000000000,0.976187341842334
540.000000000000000,0.976182744062139
541.000000000000000,0.976108359603600
542.000000000000000,0.976449530820110
543.000000000000000,0.976376158985187
544.000000000000000,0.976307017899947
545.000000000000000,0.976201725053620
546.000000000000000,0.976441469907767
547.000000000000000,0.976188786805462
